Feature Name,Acceptance Criteria,Build Complexity,Chapter,Dependencies,One Line Description,Priority,Stage,Status,Success Metric,Technical Notes,User Story,WI Code,Wow Factor
Dark Room — Total Focus Mode,"1. Keyboard shortcut Cmd+Shift+D activates Dark Room
2. Interface collapses: only footage player, waveform, transcript
3. All panels, toolbars, AI suggestions hidden
4. Keyboard shortcuts: J/K/L playback, I/O in/out, D delete, M mark, N note
5. Keyboard shortcut reference card available (press ? to show)
6. Escape or Cmd+Shift+D exits — all panels restore to previous state
7. 300ms graceful fade transition in and out",Low,Speed Reinvented,"Timeline component, keyboard shortcut system",Cmd+Shift+D — strips interface to footage + waveform only. Keyboard editing. Zero distractions.,P2 — Important,Stage 1 — Record,Not Started,Used by 30% of power users (3+ videos/month) regularly. Zero 'how do I exit Dark Room' support tickets after help docs published.,"Dark Room is a UI mode flag. Panel visibility controlled via CSS transitions + state. Keyboard event handlers registered on mode entry, removed on exit. No data or processing changes.","As a serious creator, I want a mode that treats me like a craftsperson and gets everything else out of the way.",WI-48,✅ Smart Execution
Session Mood Setting,"1. 5 mood cards shown on session start screen
2. Each mood changes: AI silence threshold, default music genre, caption animation style, colour grade warmth, Creator Style Template suggestion
3. Mood persists through the entire session into edit
4. Mood can be changed at any point in edit without losing work
5. Mood preference per project type remembered for future sessions",Low,Knows Me,"Stage 0, Sound Rooms, Caption system",Pick Energetic / Reflective / Educational / Entertaining before recording — Vivido adjusts everything to match,P1 — Core,Stage 1 — Record,Not Started,70% of creators pick a mood before every session within first 2 weeks. 60% keep the default mood settings rather than overriding.,Mood stored as a JSON config object that seeds all downstream AI and design defaults. Simple lookup table to map mood → parameter set.,"As a creator, I want the tool to dress itself for the type of video I'm making so I don't have to configure anything.",WI-35,✅ Smart Execution
Style DNA — Editing Rhythm from YouTube URL,"1. URL input in Style DNA panel — supports any public YouTube URL
2. Server-side analysis extracts: avg cut duration, silence ratio, zoom frequency, music timing, caption timing, energy arc
3. Style DNA card shown with these parameters visually
4. 'Apply to edit' button restructures cut timing and pacing
5. 4 built-in preset DNA cards: High-Energy / Calm Authority / Storyteller / Tutorial Pro
6. Applied style can be intensity-dialled: 0% (none) to 100% (full match)
7. Creator can undo style application with one click",High,Editing Reimagined,"Server-side YouTube processing pipeline, FFmpeg, Claude API, Stage 0","Paste a YouTube URL, get that creator's editing DNA applied to your footage",P1 — Core,Stage 2 — AI Edit,Not Started,Style DNA used in 40% of edits within first month. Creators report 'pacing feels right' without manual adjustment.,YouTube video downloaded server-side (Puppeteer/yt-dlp). FFmpeg scene detection for cut points. PySceneDetect or similar for cut frequency. Results cached by URL. Claude API for energy arc classification.,"As a creator who admires another YouTuber's pacing, I want to apply their editing rhythm to my video without manually copying it.",WI-15,🤯 Never Been Done
Smart Export — Platform Adaptation,"1. 8 platform profiles at launch: YouTube Long, YouTube Shorts, Instagram Reels, Instagram Post, TikTok, LinkedIn, Twitter/X, WhatsApp
2. Per platform: correct aspect ratio auto-applied, resolution, bitrate, caption format
3. Platform profile auto-selected based on Repurpose Engine output type
4. Creator can manually select any platform for any export
5. Preview shows how video will appear on selected platform
6. Export settings fully reviewable and overridable before final render
7. Platform specs updated as platforms change (maintainable config file)",Medium,Platform Freedom,"FFmpeg, Repurpose Engine, Smart Captions, Stage 0","Auto-adapts video to every platform's exact specs — aspect ratio, resolution, bitrate, caption style",P1 — Core,Stage 3 — Repurpose & Publish,Not Started,Zero platform rejection errors reported (wrong spec) for videos exported through Smart Export.,Platform specs stored as JSON config — easy to update. FFmpeg handles transcode per spec. Aspect ratio change crops or letterboxes based on creator preference. Captions burned-in for mobile platforms automatically.,"As a creator publishing to 4 platforms, I want Vivido to handle every platform's technical requirements so I never have to look up specs again.",WI-24,⚡ Rare & Powerful
Smart Captions — Self-Styling Subtitles,"1. 6 content-type styles applied automatically: Punchline / Key Term / Disclaimer / Emphasis / Question / Statistic
2. Per-rule style settings: font size modifier, weight, colour, animation type
3. Per-rule on/off toggle in caption settings
4. Master caption style (font, base size, position) controlled separately
5. Preview mode shows all captions rendered before exporting
6. Export formats: Burned-in / SRT / VTT / ASS (animated)
7. Creator can manually override style for any individual caption",Medium,Language & Geography,"Whisper, Claude API, FFmpeg subtitle processing, brand kit","Captions that style themselves — punchlines pop, stats go bold, disclaimers go small",P1 — Core,Stage 2 — AI Edit,Not Started,Smart Captions used in 80% of short-form exports. 'Caption quality' rated 4.5/5 or higher in beta surveys.,Claude API classifies each sentence/phrase into content type. Classification output maps to CSS-equivalent style rules. ASS format supports animation. Burned-in via FFmpeg subtitle filter.,"As a short-form creator, I want my captions to communicate as much as my voice so viewers watching on mute still get the full experience.",WI-38,⚡ Rare & Powerful
Take Composer — Best-Take Sentence Compositor,"1. Takes tracked within a session — up to 5 takes per segment
2. Take Composer available after session ends
3. All takes transcribed and aligned at sentence level
4. Each sentence scored: delivery confidence, clarity, pace, filler count, energy
5. Composite assembled automatically with provenance shown (Sentence 1 from Take 3...)
6. Creator can swap any sentence to a different take version via dropdown
7. Output: single seamless clip with audio crossfades at join points
8. Processing time < 60s for a 3-minute segment",High,Camera Intelligence,"Whisper forced-alignment, Claude API for scoring, FFmpeg, session recording system","Record 5 takes, AI builds the perfect composite — best delivery of each sentence, seamlessly joined",P1 — Core,Stage 2 — AI Edit,Not Started,Take Composer is the #1 mentioned feature in beta feedback. Composite output rated 'better than any single take' in 80% of trials.,Whisper forced-alignment for sentence-level timestamps. Custom scoring model (fine-tuned or rule-based) for delivery quality. FFmpeg crossfade at joins — 50ms dissolve. Take tracking stored as session metadata.,"As a creator who stumbles through the same paragraph 5 times, I want AI to build the perfect version from all my attempts.",WI-02,🤯 Never Been Done
Vivido Publish — Schedule & Publish Direct,"1. OAuth integrations at launch: YouTube, Instagram, LinkedIn, Twitter/X
2. Podcast integration via Anchor/Spotify RSS
3. Publish panel: select platforms, assign output formats per platform
4. Title + description: pull from Smart Chapters + Script Health Score, or write manually, or AI-generate from transcript
5. Scheduling: pick date/time, or use AI Optimal Time suggestion
6. Publish confirmation with per-platform status (queued / live / failed)
7. Post-publish: live performance card showing views + comments at 1h, 24h, 7d
8. Failed publishes show specific error + retry option",High,Last Tool Ever,"OAuth integrations, Repurpose Engine, Smart Export, job queue system","Press Publish, choose platforms, schedule time — Vivido is the distribution layer, not just creation",P1 — Core,Stage 3 — Repurpose & Publish,Not Started,70% of finished edits published directly through Vivido within 30 days of Stage 3 launch. Zero silent publish failures (all errors shown to creator).,"YouTube Data API v3, Instagram Graph API, LinkedIn Video API, Twitter API v2. OAuth tokens stored encrypted. Scheduled publishes use a job queue (Vercel Cron or similar). Performance data polled from platform APIs.","As a creator, I want to go from finished edit to published video without leaving Vivido or logging into another platform.",WI-44,⚡ Rare & Powerful
Vivido Sound Rooms — Acoustic Simulation,"1. 4 preset Sound Rooms available at launch
2. Live preview on microphone input before recording starts
3. Applied in real-time during recording AND as post-processing on completed clips
4. Custom mode: manual EQ + compression with waveform display
5. Sound Room selection saved per project
6. Can be changed or re-applied in edit without re-recording",Medium,Camera Intelligence,"FFmpeg audio processing, RNNoise integration, Stage 0 complete","Pick an acoustic environment (Home Studio, Broadcast Booth, Outdoor Clear, Podcast Warm) before recording",P1 — Core,Stage 1 — Record,Not Started,85% of beta users rate audio quality 'significantly improved' vs raw recording. Support tickets about audio quality < 5% of sessions.,Two-pass: noise profile detection → adaptive RNNoise filter → harmonic enhancement via FFmpeg audio filters. Preset parameters stored as JSON configs.,"As a creator recording in a noisy apartment, I want my audio to sound like a professional setup without buying equipment.",WI-04,⚡ Rare & Powerful
AI Edit Assistant — Gentle Interventions,"1. Sidebar panel — collapsed by default, expandable
2. Minimum 5 observation types active at launch: filler count, intro length, B-roll gap, audio mismatch, jump cut cluster
3. Each observation has: Ignore / Fix Automatically / Show Me buttons
4. AI learns from accepted/rejected suggestions — stops showing suggestions creator consistently ignores after 5 rejections
5. Observations update in real-time as edit progresses
6. Never shows more than 3 observations at once — prioritises highest impact
7. Observation history accessible in panel",Medium,Knows Me,"Whisper, Claude API, timeline analysis, Stage 0","Non-intrusive sidebar that tells you what your co-editor would say — filler count, intro length, B-roll gaps",P1 — Core,Stage 2 — AI Edit,Not Started,50% of AI suggestions accepted by creators. Average 3 suggestions per edit session. Net Promoter Score impact: AI Edit Assistant cited as top 3 favourite feature.,Observation engine runs as a background worker analyzing timeline state. Filler count from Whisper transcript. Intro length from timeline metadata. B-roll gap from clip type tags. Claude API for complex observations.,"As a creator, I want gentle nudges from Vivido that improve my video without interrupting my flow.",WI-34,✅ Smart Execution
Vivido Repurpose Engine — 11 Content Pieces,"1. Repurpose panel opens after edit is finished
2. All 11 output types listed with checkboxes — creator picks what they want
3. Shorts: AI selects 3 best moments (hook quality scored), reformats to 9:16, adds captions
4. Podcast audio: cleans audio track, adds intro/outro from brand kit
5. LinkedIn + Twitter: Claude extracts key insight, formats to platform norms
6. Carousels: key points as designed slides using brand kit colours + fonts
7. Newsletter: summary + key quotes + CTA block in Markdown
8. Blog post: full transcript cleaned and structured with headings
9. All outputs generated in < 3 minutes for a 20-min video
10. Each output editable before download/publish",High,Platform Freedom,"All Stage 2 AI features, FFmpeg, Claude API, brand kit, Stage 0","One session → full YouTube edit, 3 Shorts, podcast, LinkedIn, Twitter thread, 2 carousels, newsletter, blog, captions, 3 thumbnails",P0 — Blocker,Stage 3 — Repurpose & Publish,Not Started,Repurpose Engine used in 70% of completed edits. Average 6 outputs selected per session. 'Saves me 3+ hours' cited by 80% of users.,Pipeline: transcript → Claude API for text outputs → FFmpeg for video reformatting → Canvas for carousel slides → ZIP download or direct to publish queue. Shorts selection uses energy scores + hook strength from Stage 2.,"As a creator who hates spending a whole day repurposing, I want one click to produce my entire week of content from a single recording.",WI-29,🤯 Never Been Done
