What If,Build Complexity,Chapter,One Line Description,PRD Stage,Revenue Impact,Tier,WI Code,Why This Tier,Wow Factor
Creator DNA profile from past videos,High,Knows Me,"After 20 videos, Vivido builds your Creative DNA: cut pace, signature transitions, colour palette, weak spots",Stage 5 — Intelligence Layer,Indirect,🟡 Post-Launch Good to Have,WI-33,Creates powerful lock-in once built. Needs video history. Ships 3-6 months post-launch when users have enough data.,⚡ Rare & Powerful
Creative mood setting before each session,Low,Knows Me,"Pick Energetic/Reflective/Educational/Entertaining before recording — Vivido adjusts music, captions, colour, pacing to match",Stage 1 — Core UX,Direct,🔴 MSP — Ship at Launch,WI-35,"Low build complexity, very high first-session delight. Sets Vivido apart from every tool that treats all videos the same. Ships in Stage 1 onboarding.",✅ Smart Execution
Last frame of video 1 = first frame of video 2,Medium,Last Tool Ever,"Your channel becomes a serialised universe — last frame locked, next episode opens on it, perfectly colour-matched",Stage 4 — Creator Coach,Indirect,🟡 Post-Launch Good to Have,WI-50,"Emotional, distinctive, creates channel brand identity. Ships as a Series Linking feature in the post-launch creator OS.",🤯 Never Been Done
Retention diagnosis from past 10 videos,High,AI Co-Director,"AI watches your last 10 videos, tells you exactly what creative pattern is killing your retention",Stage 4 — Creator Coach,Indirect,🟡 Post-Launch Good to Have,WI-17,Needs enough user history to work well. Ships after users have uploaded at least 5 videos. Powerful retention tool.,⚡ Rare & Powerful
Edit by mood — emotional beat map instead of timeline,Moonshot,Editing Reimagined,"Replace timeline with a mood map — drag the energy curve, Vivido adjusts cuts, music, colour grade",Moonshot — V3+,Long Term,🚀 Moonshot — V3+,WI-09,Revolutionary paradigm shift — but a paradigm shift is also a learning curve. Build after core timeline is loved.,🤯 Never Been Done
Brand kit that evolves based on what performs,High,Knows Me,Vivido tracks which thumbnail styles and caption colours drive most watch time — suggests brand kit updates,Stage 5 — Intelligence Layer,Indirect,🟡 Post-Launch Good to Have,WI-28,Requires sufficient performance data history. Post-launch after brand kit is established and used.,⚡ Rare & Powerful
A/B test two edits with real audience split,High,Last Tool Ever,"Publish Edit A and B to first 500 viewers each. Vivido tracks retention, auto-promotes the winner to full distribution.",Stage 5 — Intelligence Layer,Direct,🟡 Post-Launch Good to Have,WI-49,Game-changing for agencies and growth-focused creators. Needs publishing infrastructure to be solid first. Post-launch premium feature.,🤯 Never Been Done
Face colour consistency across shoot days,High,Camera Intelligence,Subtle AI grade to match skin tone and lighting across different recording days — no mutant eyes,Stage 3 — Polish Layer,Indirect,🟡 Post-Launch Good to Have,WI-03,Impressive but not a switching reason on its own. Better after core is solid and users trust the AI.,⚡ Rare & Powerful
Virtual cameraperson — auto-framing from fixed webcam,Medium,Camera Intelligence,"Tracks movement and gestures, keeps creator perfectly framed from a fixed webcam",Stage 1 — Core Recording,Direct,🔴 MSP — Ship at Launch,WI-05,Solo creators have no cameraperson. This is table stakes for a modern recording tool. Riverside and Descript don't do it well.,⚡ Rare & Powerful
Import visual aesthetic of any film or show,High,Design Alive,"Type Blade Runner 2049 — Vivido applies that exact colour science, grain, lens aberration to your footage",Stage 4 — Creator Coach,Direct,🟡 Post-Launch Good to Have,WI-26,Hugely popular demand from creative YouTube. Ships as a premium Cinematic Looks library post-launch.,🤯 Never Been Done
Edit your live published video in real time,Moonshot,Last Tool Ever,"See live drop-off chart overlaid on your timeline. Fix the 3:45 drop, publish updated version without re-uploading.",Moonshot — V3+,Long Term,🚀 Moonshot — V3+,WI-45,Requires YouTube API-level platform partnership and dynamic video serving infrastructure. V3 vision.,🤯 Never Been Done
Undo that remembers your intention not just last action,High,Editing Reimagined,"Say undo the direction I was going — rolls back to before that creative idea, preserving everything else",Stage 5 — Intelligence Layer,Indirect,🟡 Post-Launch Good to Have,WI-14,"Deeply useful but technically complex — requires intent-tracking across sessions. Version history ships first, this comes next.",🤯 Never Been Done
Colour grading from a feeling description,High,Design Alive,Type make it feel like a 2007 film — Vivido applies a film-accurate grade reading your specific footage lighting,Stage 3 — Design System,Indirect,🟡 Post-Launch Good to Have,WI-25,Powerful creative feature. Ships after core grade presets are working. Natural language grade comes in the polish phase.,⚡ Rare & Powerful
Schedule and publish to every platform from inside editor,High,Last Tool Ever,"Press Publish, choose platforms, set schedule — Vivido IS the distribution layer, not just creation",Stage 3 — Publish Engine,Direct,🔴 MSP — Ship at Launch,WI-44,"Without publishing, Vivido is still just an editor. This closes the loop. Non-negotiable for MSP. Ships as Stage 3 core feature.",⚡ Rare & Powerful
Energy detection while recording,Medium,Camera Intelligence,AI detects if you're in the zone vs rambling — live glow indicator while recording,Stage 1 — Core Recording,Direct,🔴 MSP — Ship at Launch,WI-01,Solves the #1 recording pain — wasted takes. Instant wow moment for new users. Drives activation.,⚡ Rare & Powerful
Best-take sentence compositor from 5 takes,High,Camera Intelligence,AI listens to 5 takes and stitches the best delivery of each sentence into a composite master,Stage 2 — AI Layer,Direct,🔴 MSP — Ship at Launch,WI-02,Music producers do this for vocals. No video tool has ever done it. One killer demo feature that sells Vivido instantly.,🤯 Never Been Done
Describe your video and it assembles itself,Moonshot,Editing Reimagined,Type a natural language brief — Vivido assembles a first-cut from your clips automatically,Moonshot — V3+,Long Term,🚀 Moonshot — V3+,WI-08,The holy grail but requires deep multimodal AI pipeline. Ship it when the model tech catches up. Too soon for MSP.,🤯 Never Been Done
